id,Age,Sex,Ethnicity,Health,Work,Beef,Lamb,Pork,ProcessedRedMeat,Burgers,Sausages,Offal,Poultry,GameBirds,Fish,Alcohol,Fruit,Veg
138,a0_02,F,white,verygood,u16_75pl,0,0,0,5.75,0,23.0355,0,34.07873,0,56.97965,0,163,50.023175
139,a0_02,F,white,verygood,u16_75pl,5.5812,0.28536,0,0,0,0,0,3.60856,0,0,0,115.46675,13.07075
140,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,5.62485,0,14,0,0,0,151.375,18.561255
141,a0_02,F,white,verygood,u16_75pl,18.2,0,0,0,0,35.75,0,6.8068,0,13.0634375,0,2.6156,54.35495
142,a0_02,F,white,verygood,u16_75pl,0,0,0,9.375,0,38.75,0,22.0625,0,0,0,16.9125,48.9
143,a0_02,F,white,verygood,u16_75pl,8.04,0,1.4,40.375,0,0,0,7.175,0,0,0,93.9125,45.8152375
144,a0_02,F,white,verygood,u16_75pl,23.525,0,0,0,0,44.4375,0,4.275,0,17.304,0,31.25,148.364035
145,a0_02,F,white,good,u16_75pl,0,0,0,11.5,0,0,0,16.1525,0,7.725,0,7.0675,61.89116575
146,a0_02,F,black,verygood,u16_75pl,14.1,0,15,0,0,0,0,0,0,0,0,134.43,109.0079925
147,a0_02,F,white,good,u16_75pl,0,0,0,0,0,8.0355,0,0,0,43.77065,0,62.1125,60.75573
148,a0_02,F,white,verygood,u16_75pl,12.114675,0,0,17.25,0,30.75,0,14,0,0,0,39.5,35.52382625
149,a0_02,F,white,good,u16_75pl,6.64666,0,0,0,0,0,0,0,0,8.652,0,103.475,45.26977
150,a0_02,F,mixed,verygood,u16_75pl,22.5,0,0,0,0,0,0,0,0,0,0,129.89375,171.076125
151,a0_02,F,white,verygood,u16_75pl,0,0,0,16.1567,0,20.5,0,5.36994,0,8.652,0,244.32125,63.632796
152,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,0,0,0,0,11.849005,0,71.455,106.3421875
153,a0_02,F,white,verygood,u16_75pl,12.25288,0,10.575,15.75,0,30,0,0,0,0,0,190.995,107.18399
154,a0_02,F,white,verygood,u16_75pl,0,0,2.212875,6.25,0,15,0,17.5,11.61,4.5,0,98.852,134.396
155,a0_02,F,white,verygood,u16_75pl,3,0,5,2.15,0,0,0,0,0,0,0,162.273125,69.572125
156,a0_02,F,black,verygood,u16_75pl,0,0,0,0,0,0,0,0,0,1.65,0,50,32.7
157,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,0,0,25.093725,0,21.25,0,206.61875,138.95575
158,a0_02,F,white,verygood,u16_75pl,22.91429,0,0,0,0,7.0825,0,0,0,8.652,0,95.45,36.3395425
159,a0_02,F,white,verygood,u16_75pl,8.9,0,0,0,0,0,0,10,0,2.0984375,0,70.6105,101.687525
160,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,0,0,0,0,0,0,157.95,98.64752
161,a0_02,F,white,good,u16_75pl,3.828,0,0,0.6384,0,0,0,7.175,0,12.978,0,136.05455,64.6732
162,a0_02,F,white,verygood,u16_75pl,0,0,0,12.5,0,8.0355,0,4.275,0,8.652,0,119.3405,37.586925
163,a0_02,F,white,verygood,u16_75pl,0,0,0,32.8625,0,16.071,0,14.382875,0,0,0,56,12.78188
164,a0_02,F,white,verygood,u16_75pl,1.25,0,47.5,0,0,0,0,11.175,0,4.41,0,78.7,36.375
165,a0_02,F,white,verygood,u16_75pl,22.025,0,0,17,0,0,0.689425,32.293725,0,0,0,145.675,97.4557
166,a0_02,F,white,verygood,u16_75pl,13.73333333,0,0,15.33333333,0,6.5,0,0,0,0,0,137.3152,38.61030333
167,a0_02,F,white,verygood,u16_75pl,10.6,0,0,0,0,12.94608333,0,32.041775,0,0,0,130.8166667,35.80997333
168,a0_02,F,white,verygood,u16_75pl,3.6,0,0,8.25,0,12.75,0,4.175,0,2.775,0,113.0125,62.8956125
169,a0_02,F,white,verygood,u16_75pl,7.8125,0,0,5.75,0,15,0,8.75,0,7.3834,0,99.375,101.7017638
170,a0_02,F,white,verygood,u16_75pl,19.225,0,6.6,0,0,34.85,0,0,0,10,0,148.1605,25.45
171,a0_02,F,white,verygood,u16_75pl,0,0,0,6.666666667,8.333333333,0,0,10.9212,0,5.472676667,0,112.7666667,4.557133333
172,a0_02,F,white,verygood,u16_75pl,2.4,0,0,0,0,8.75,0,5.575,0,6.489,0,95.0625,75.8319175
173,a0_02,F,white,good,u16_75pl,4.171375,0,0,15.125,0,30,0,9.74116,0,0,0,114.5,43.8352475
174,a0_02,F,white,fair,u16_75pl,0,0,0,11.5,0,0,0,19.1576,0,0,0,16.5,0
175,a0_02,F,white,verygood,u16_75pl,3.25,0,0,0,0,0,0,0,0,12.5,0,150.825,47.49635125
176,a0_02,F,white,verygood,u16_75pl,11.6,0,0,0,0,22.5,0,5.575,0,0,0,144.975,54.840267
177,a0_02,F,white,verygood,u16_75pl,8.0375,0,5,6.875,0,0,0,7.5,0,19,0,151.63125,97.949375
178,a0_02,F,white,verygood,u16_75pl,0,0,0,10.5,0,0,0,35,0,0,0,222.807125,23.75
